Model,Capacity,NAND Type,Format,Interface,Released,Controller,DRAM,Product URL
XPG Gammix S7,512 GB 1 TB 2 TB,TLC,M.2 2280,PCIe 3.0 x4,2020,RTS5762,Yes,https://www.techpowerup.com/ssd-specs/xpg-gammix-s7-1-tb.d154
XPG Gammix S70 (IG5236 + B27B),1 TB 2 TB,TLC,M.2 2280,PCIe 4.0 x4,2020,IG5236,Yes,https://www.techpowerup.com/ssd-specs/xpg-gammix-s70-1-tb.d122
XPG Gammix S70 (IG5236 + B47R),1 TB 2 TB,TLC,M.2 2280,PCIe 4.0 x4,2022,IG5236,Yes,https://www.techpowerup.com/ssd-specs/xpg-gammix-s70-1-tb.d928
XPG Gammix S70 Blade (Micron TLC B47R 512Gb),1 TB 2 TB 4 TB,TLC,M.2 2280,PCIe 4.0 x4,2021,IG5236,Yes,https://www.techpowerup.com/ssd-specs/xpg-gammix-s70-blade-1-tb.d120
XPG Gammix S70 Blade (SK Hynix TLC V7 512Gb C-Die),2 TB,TLC,M.2 2280,PCIe 4.0 x4,2021,IG5236,Yes,https://www.techpowerup.com/ssd-specs/xpg-gammix-s70-blade-2-tb.d2262
XPG Gammix S70 Blade (YMTC X2-9060 TLC CDT1B 512Gb),1 TB 2 TB,TLC,M.2 2280,PCIe 4.0 x4,2021,IG5236,Yes,https://www.techpowerup.com/ssd-specs/xpg-gammix-s70-blade-1-tb.d1411
XPG Gammix S70 Pro,1 TB 2 TB 4 TB,TLC,M.2 2280,PCIe 4.0 x4,2023,SM2264F,Yes,https://www.techpowerup.com/ssd-specs/xpg-gammix-s70-pro-1-tb.d1752
XPG Gammix S70 Pro (w/ Heatsink),1 TB 2 TB 4 TB,TLC,M.2 2280,PCIe 4.0 x4,2023,SM2264F,Yes,https://www.techpowerup.com/ssd-specs/xpg-gammix-s70-pro-w-heatsink-1-tb.d1753
XPG PCIe Gen5 SSD,8 TB,TLC,M.2 2280,PCIe 5.0 x4,2023,SM2508,Yes,https://www.techpowerup.com/ssd-specs/xpg-pcie-gen5-ssd-8-tb.d1283
XPG SX6000 Lite (RTS5763DL + Micron B16A),256 GB 512 GB,TLC,M.2 2280,PCIe 3.0 x4,2018,RTS5763DL,HMB,https://www.techpowerup.com/ssd-specs/xpg-sx6000-lite-512-gb.d175
XPG SX6000 Lite (RTS5763DL + Micron B17A),1 TB,TLC,M.2 2280,PCIe 3.0 x4,2018,RTS5763DL,HMB,https://www.techpowerup.com/ssd-specs/xpg-sx6000-lite-1-tb.d176
XPG SX6000 Lite (RTS5763DL + SpecTek B16A),128 GB,TLC,M.2 2280,PCIe 3.0 x4,2018,RTS5763DL,HMB,https://www.techpowerup.com/ssd-specs/xpg-sx6000-lite-128-gb.d173
