Model,Capacity,NAND Type,Format,Interface,Released,Controller,DRAM,Sequential R/W,Random R/W,Endurance,Product URL
Patriot Burst,120GB 240GB 480GB 960GB,TLC,2.5,SATA 6 Gbps,2018,Phison S11,No,560/540 MB/s,80000/60000 IOPS,835TBW,https://www.techpowerup.com/ssd-specs/patriot-burst-960-gb.d643
Patriot Burst Elite (MAS1102B + YMTC CEC1A),1.9TB,QLC,2.5,SATA 6 Gbps,2020,MAS1102B-B1C,No,450/320 MB/s,40000/40000 IOPS,800TBW,https://www.techpowerup.com/ssd-specs/patriot-burst-elite-1-9-tb.d1851
Patriot Burst Elite (Realtek RTS5766DL + Kioxia BiCS5),120GB 240GB 480GB,TLC,2.5,SATA 6 Gbps,2020,RTS5766DL,No,450/320 MB/s,40000/40000 IOPS,200TBW,https://www.techpowerup.com/ssd-specs/patriot-burst-elite-480-gb.d1848
Patriot Burst Elite (SM2259XT + Micron N18A),960GB 1.9TB,QLC,2.5,SATA 6 Gbps,2020,SM2259XT,No,450/320 MB/s,40000/40000 IOPS,400TBW,https://www.techpowerup.com/ssd-specs/patriot-burst-elite-960-gb.d1847
Patriot P200 (MAS0902),2TB,TLC,2.5,SATA 6 Gbps,2019,MAS0902A-B2C,No,530/460 MB/s,90000/80000 IOPS,1000TBW,https://www.techpowerup.com/ssd-specs/patriot-p200-2-tb.d638
Patriot P200 (SM2258XT),128GB 256GB 512GB 1TB,TLC,2.5,SATA 6 Gbps,2019,SM2258XT,No,530/460 MB/s,90000/80000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/patriot-p200-1-tb.d639
Patriot P300 (Phison E13),128GB 256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2020,Phison E13,HMB,2100/1650 MB/s,290000/260000 IOPS,320TBW,https://www.techpowerup.com/ssd-specs/patriot-p300-1-tb.d634
Patriot P300 (SM2263XT),128GB 256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,Unknown,Phison E13,HMB,2100/1650 MB/s,290000/260000 IOPS,320TBW,https://www.techpowerup.com/ssd-specs/patriot-p300-1-tb.d1025
Patriot Viper VP4100,500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2019,Phison E16,Yes,5000/4400 MB/s,800000/800000 IOPS,1800TBW,https://www.techpowerup.com/ssd-specs/patriot-viper-vp4100-1-tb.d623
Patriot Viper VP4300 (IG5236 + B27B),1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2021,IG5236,Yes,7400/6800 MB/s,800000/800000 IOPS,1000TBW,https://www.techpowerup.com/ssd-specs/patriot-viper-vp4300-1-tb.d621
Patriot Viper VP4300 (IG5236 + B47R),1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,IG5236,Yes,7400/5500 MB/s,800000/800000 IOPS,1000TBW,https://www.techpowerup.com/ssd-specs/patriot-viper-vp4300-1-tb.d902
Patriot Viper VP4300 Lite (MAP1602 + YMTC 1T b QLC X3-6070),4TB,QLC,M.2 2280,PCIe 4.0 x4,2023,MAP1602A,HMB,7400/6000 MB/s,900000/700000 IOPS,2000TBW,https://www.techpowerup.com/ssd-specs/patriot-viper-vp4300-lite-4-tb.d1581
Patriot Viper VP4300 Lite (MAP1602 + YMTC 1T b TLC EET1A),500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2023,MAP1602A,HMB,7400/6400 MB/s,1000000/700000 IOPS,800TBW,https://www.techpowerup.com/ssd-specs/patriot-viper-vp4300-lite-1-tb.d1579
Patriot Viper VP4300 Lite (Phison E27T + Kioxia BiCS6 TLC 1Tb),2TB,TLC,M.2 2280,PCIe 4.0 x4,2023,Phison E27T,HMB,7400/6400 MB/s,1000000/700000 IOPS,1600TBW,https://www.techpowerup.com/ssd-specs/patriot-viper-vp4300-lite-2-tb.d2179
Patriot Viper VPN100 (E12 + BiCS3),256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2019,Phison E12,Yes,3450/3000 MB/s,700000/700000 IOPS,400TBW,https://www.techpowerup.com/ssd-specs/patriot-viper-vpn100-1-tb.d1027
Patriot Viper VPN100 (E12S + Micron B27A),1TB,TLC,M.2 2280,PCIe 3.0 x4,2019,Phison E12S,Yes,3450/3000 MB/s,700000/700000 IOPS,400TBW,https://www.techpowerup.com/ssd-specs/patriot-viper-vpn100-1-tb.d627
Patriot Viper VPR100,256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2019,Phison E12,Yes,3300/2900 MB/s,700000/650000 IOPS,1600TBW,https://www.techpowerup.com/ssd-specs/patriot-viper-vpr100-1-tb.d630
Patriot Viper VPR400,512GB 1TB,TLC,M.2 2280,PCIe 4.0 x4,2022,IG5220,HMB,4600/4400 MB/s,600000/500000 IOPS,800TBW,https://www.techpowerup.com/ssd-specs/patriot-viper-vpr400-1-tb.d904
Phison E26 Engineering Sample,2TB,TLC,M.2 2280,PCIe 5.0 x4,2022,Phison E26,Yes,10000/10000 MB/s,1400000/1500000 IOPS,1400TBW,https://www.techpowerup.com/ssd-specs/phison-e26-engineering-sample-2-tb.d832
Phison E26 Max14um Reference Design,2TB,TLC,M.2 2280,PCIe 5.0 x4,2024,Phison E26,Yes,14600/12700 MB/s,1500000/1600000 IOPS,1400TBW,https://www.techpowerup.com/ssd-specs/phison-e26-max14um-reference-design-2-tb.d1878
Phison E28 Engineering Sample,2TB,TLC,M.2 2280,PCIe 5.0 x4,2024,Phison E28,Yes,14500/14500 MB/s,3000000/3000000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/phison-e28-engineering-sample-2-tb.d2277
Phison E31T Engineering Sample,2TB,TLC,M.2 2280,PCIe 5.0 x4,2024,Phison E31T,HMB,10300/8600 MB/s,1300000/1500000 IOPS,1200TBW,https://www.techpowerup.com/ssd-specs/phison-e31t-engineering-sample-2-tb.d2056
Phison IO+ (Engineering Sample),2TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7100/6800 MB/s,1000000/1200000 IOPS,1400TBW,https://www.techpowerup.com/ssd-specs/phison-io-engineering-sample-2-tb.d853
Phison Pascari X200E,1.6TB 3TB 6TB 13TB 26TB,TLC,U.2,PCIe 5.0 x4,2024,Phison X2,Yes,14800/4300 MB/s,2400000/400000 IOPS,8760TBW,https://www.techpowerup.com/ssd-specs/phison-pascari-x200e-1-6-tb.d2017
Phison Pascari X200P,1.9TB 3.8TB 7.5TB 15TB 31TB,TLC,U.2,PCIe 5.0 x4,2024,Phison X2,Yes,14800/4300 MB/s,2400000/170000 IOPS,3504TBW,https://www.techpowerup.com/ssd-specs/phison-pascari-x200p-1-9-tb.d2008
Pichau Aldrin A1,1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,IG5220,HMB,4900/4600 MB/s,400000/650000 IOPS,500TBW,https://www.techpowerup.com/ssd-specs/pichau-aldrin-a1-1-tb.d1525
Pichau Aldrin LP,1TB,QLC,M.2 2280,PCIe 4.0 x4,2024,MAP1602A,HMB,7000/6500 MB/s,110000/110000 IOPS,1024TBW,https://www.techpowerup.com/ssd-specs/pichau-aldrin-lp-1-tb.d2259
Pichau Aldrin Pro,512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2023,IG5236,Yes,7300/5200 MB/s,900000/800000 IOPS,500TBW,https://www.techpowerup.com/ssd-specs/pichau-aldrin-pro-1-tb.d1765
Pichau Celestia (IG5220 + Micron B47R),512GB,TLC,M.2 2230,PCIe 4.0 x4,2023,IG5220,HMB,5000/4200 MB/s,330000/290000 IOPS,160TBW,https://www.techpowerup.com/ssd-specs/pichau-celestia-512-gb.d1970
Pichau Celestia (MAP1602 + YMTC CDT1B),1TB,TLC,M.2 2230,PCIe 4.0 x4,2023,MAP1602A,HMB,5000/4200 MB/s,360000/220000 IOPS,320TBW,https://www.techpowerup.com/ssd-specs/pichau-celestia-1-tb.d1969
Pichau Kepler Z1,512GB 1TB,QLC,M.2 2280,PCIe 3.0 x4,2023,RTS5762,Yes,3200/2500 MB/s,222000/220000 IOPS,320TBW,https://www.techpowerup.com/ssd-specs/pichau-kepler-z1-1-tb.d2117
Plextor M10e,256GB 512GB 1TB,TLC,M.2 2280,PCIe 4.0 x4,2021,SM2267XT,HMB,3700/2600 MB/s,550000/460000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/plextor-m10e-1-tb.d684
Plextor M10P(G),1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2021,IG5236,Yes,7000/5000 MB/s,650000/550000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/plextor-m10p-g-1-tb.d677
Plextor M10P(GN),512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2021,IG5236,Yes,7000/5000 MB/s,650000/550000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/plextor-m10p-gn-1-tb.d682
Plextor M10P(Y),512GB 1TB 2TB,TLC,Add-In Card,PCIe 4.0 x4,2021,IG5236,Yes,7000/5000 MB/s,650000/550000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/plextor-m10p-y-1-tb.d679
Plextor M9P(G) Plus,256GB 512GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2020,88SS1092,Yes,3400/2200 MB/s,340000/320000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/plextor-m9p-g-plus-1-tb.d687
Plextor M9Pe(G),256GB 512GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2018,88SS1093,Yes,3200/2100 MB/s,400000/300000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/plextor-m9pe-g-1-tb.d693
Plextor M9Pe(GN),256GB 512GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2018,88SS1093,Yes,3200/2100 MB/s,400000/300000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/plextor-m9pe-gn-1-tb.d696
Plextor M9Pe(Y),256GB 512GB 1TB,TLC,Add-In Card,PCIe 3.0 x4,2018,88SS1093,Yes,3200/2100 MB/s,400000/300000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/plextor-m9pe-y-1-tb.d690
PNY CS2142,1TB 2TB,QLC,M.2 2230,PCIe 4.0 x4,2024,Phison E21T,HMB,4900/3200 MB/s,Unknown IOPS,450TBW,https://www.techpowerup.com/ssd-specs/pny-cs2142-1-tb.d1973
PNY CS2150,1TB 2TB,TLC,M.2 2280,PCIe 5.0 x4,2024,Phison E31T,HMB,10200/8300 MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/pny-cs2150-1-tb.d2263
PNY CS3150 XLR8 (w/ heatsink),1TB 2TB,TLC,M.2 2280,PCIe 5.0 x4,2023,Phison E26,Yes,11500/8500 MB/s,Unknown IOPS,700TBW,https://www.techpowerup.com/ssd-specs/pny-cs3150-xlr8-w-heatsink-1-tb.d1794
PNY CS900 (Micron B16A),120GB 240GB 250GB,TLC,2.5,SATA 6 Gbps,2018,Phison S11,No,535/530 MB/s,Unknown IOPS,100TBW,https://www.techpowerup.com/ssd-specs/pny-cs900-250-gb.d671
PNY CS900 (Micron B17A),480GB 500GB 960GB 1TB 2TB,TLC,2.5,SATA 6 Gbps,2018,Phison S11,No,535/515 MB/s,Unknown IOPS,450TBW,https://www.techpowerup.com/ssd-specs/pny-cs900-1-tb.d667
PNY CS900 (Micron N18A),4TB 8TB,QLC,2.5,SATA 6 Gbps,2018,Phison S11,No,560/540 MB/s,Unknown IOPS,1155TBW,https://www.techpowerup.com/ssd-specs/pny-cs900-4-tb.d665
PNY CS900 (SM2259XT2 + SK Hynix V6),240GB,TLC,2.5,SATA 6 Gbps,2018,SM2259XT2,No,535/500 MB/s,Unknown IOPS,100TBW,https://www.techpowerup.com/ssd-specs/pny-cs900-240-gb.d1845
PNY LX3030,1TB 2TB,pSLC,M.2 2280,PCIe 3.0 x4,2021,Phison E12S,Yes,3200/2400 MB/s,Unknown IOPS,10000TBW,https://www.techpowerup.com/ssd-specs/pny-lx3030-1-tb.d790
PNY XLR8 CS3030,250GB 500GB 1TB 2TB 4TB,TLC,M.2 2280,PCIe 3.0 x4,2019,Phison E12,Yes,3500/3000 MB/s,Unknown IOPS,360TBW,https://www.techpowerup.com/ssd-specs/pny-xlr8-cs3030-1-tb.d660
PNY XLR8 CS3040,500GB 1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2020,Phison E16,Yes,5600/3900 MB/s,420000/362000 IOPS,1800TBW,https://www.techpowerup.com/ssd-specs/pny-xlr8-cs3040-1-tb.d744
PNY XLR8 CS3140 (Phison E18 + Kioxia BiCS5 TLC 1Tb),8TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E18,Yes,7000/5900 MB/s,Unknown IOPS,6000TBW,https://www.techpowerup.com/ssd-specs/pny-xlr8-cs3140-8-tb.d2251
PNY XLR8 CS3140 (Phison E18 + Micron B27B),1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7500/5650 MB/s,Unknown IOPS,700TBW,https://www.techpowerup.com/ssd-specs/pny-xlr8-cs3140-1-tb.d651
PNY XLR8 CS3140 (Phison E18 + Micron B47R),1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2023,Phison E18,Yes,7500/5650 MB/s,Unknown IOPS,700TBW,https://www.techpowerup.com/ssd-specs/pny-xlr8-cs3140-1-tb.d2253
PNY XLR8 CS3140 (w/ Heatsink),1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7500/5650 MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/pny-xlr8-cs3140-w-heatsink-1-tb.d657
Ramaxel TP6500,3.8TB,TLC,U.2,PCIe 4.0 x4,2022,Phoenix 8020,Yes,Unknown MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/ramaxel-tp6500-3-8-tb.d1795
Raspberry Pi SSD (Samsung PM991a OEM),256GB 512GB,TLC,M.2 2230,PCIe 3.0 x4,2024,Samsung Pablo,HMB,3100/1800 MB/s,350000/320000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/raspberry-pi-ssd-512-gb.d2227
Redragon Blade,512GB 1TB,TLC,M.2 2280,PCIe 4.0 x4,2022,MAP1602A,HMB,7450/6600 MB/s,860000/670000 IOPS,1800TBW,https://www.techpowerup.com/ssd-specs/redragon-blade-1-tb.d1513
Reletech P400 (YMTC BCT1B),256GB 512GB,TLC,M.2 2280,PCIe 3.0 x4,2021,Phison E12S,Yes,3500/2600 MB/s,Unknown IOPS,890TBW,https://www.techpowerup.com/ssd-specs/reletech-p400-512-gb.d1051
Reletech P400 (YMTC CDT1B),256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2021,Phison E12S,Yes,3500/2100 MB/s,Unknown IOPS,1000TBW,https://www.techpowerup.com/ssd-specs/reletech-p400-1-tb.d1048
Reletech P400 EVO (E18 + Micron B27B),500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7000/5500 MB/s,350000/700000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/reletech-p400-evo-1-tb.d838
Reletech P400 EVO (IG5236 + YMTC 128-L),500GB 500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2021,IG5236,Yes,7000/5500 MB/s,350000/700000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/reletech-p400-evo-1-tb.d1324
Reletech P400 EVO (MAP1602 + YMTC 232-L),500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2021,MAP1602A,HMB,7000/5500 MB/s,350000/700000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/reletech-p400-evo-1-tb.d1517
Reletech P400 EVO (PS5) (E18 + Micron B27B),1TB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,6500/2850 MB/s,170000/600000 IOPS,350TBW,https://www.techpowerup.com/ssd-specs/reletech-p400-evo-ps5-1-tb.d842
Reletech P400 EVO (PS5) (IG5236 + YMTC 128-L),500GB 1TB 1TB,TLC,M.2 2280,PCIe 4.0 x4,2021,IG5236,Yes,7000/6850 MB/s,650000/700000 IOPS,1400TBW,https://www.techpowerup.com/ssd-specs/reletech-p400-evo-ps5-1-tb.d1326
Reletech P400 Pro (QLC) (Micron N28A),1TB 2TB,QLC,M.2 2280,PCIe 4.0 x4,2020,Phison E16,Yes,5000/1900 MB/s,180000/450000 IOPS,200TBW,https://www.techpowerup.com/ssd-specs/reletech-p400-pro-qlc-1-tb.d843
Reletech P400 Pro (TLC) (Kioxia BiCS4),500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2020,Phison E16,Yes,5000/4400 MB/s,600000/600000 IOPS,1600TBW,https://www.techpowerup.com/ssd-specs/reletech-p400-pro-tlc-1-tb.d846
Reletech P600,1TB,TLC,M.2 2280,PCIe 3.0 x4,Unknown,Phison E15,HMB,3500/3200 MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/reletech-p600-1-tb.d1577
Rise Mode Gamer Line (SM22259XT2 + Micron B58R),240GB,TLC,2.5,SATA 6 Gbps,Unknown,SM2259XT2,No,535/435 MB/s,40000/86000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/rise-mode-gamer-line-240-gb.d2284
RZX Pro (SM2259XT2 + Kioxia BiCS4),240GB,TLC,2.5,SATA 6 Gbps,2022,SM2259XT2,No,540/450 MB/s,Unknown IOPS,140TBW,https://www.techpowerup.com/ssd-specs/rzx-pro-240-gb.d1838
Sabrent Nano,1TB,TLC,M.2 2242,PCIe 4.0 x4,2024,Phison E27T,HMB,5000/Unknown MB/s,800/Unknown IOPS,600TBW,https://www.techpowerup.com/ssd-specs/sabrent-nano-1-tb.d2001
Sabrent Rocket (Phison E12S + Kioxia BiCS4),2TB 4TB,TLC,M.2 2280,PCIe 3.0 x4,2020,Phison E12S,Yes,3450/2750 MB/s,490000/510000 IOPS,3470TBW,https://www.techpowerup.com/ssd-specs/sabrent-rocket-2-tb.d1821
Sabrent Rocket (Phison E12S + Micron B27A),1TB,TLC,M.2 2280,PCIe 3.0 x4,2020,Phison E12S,Yes,3400/3000 MB/s,650000/640000 IOPS,1620TBW,https://www.techpowerup.com/ssd-specs/sabrent-rocket-1-tb.d1819
Sabrent Rocket 4,1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2024,Phison E27T,HMB,7400/6100 MB/s,1000000/850000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/sabrent-rocket-4-1-tb.d1976
Sabrent Rocket 4 Plus (Kioxia BiCS5),8TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7400/6600 MB/s,650000/1000000 IOPS,6000TBW,https://www.techpowerup.com/ssd-specs/sabrent-rocket-4-plus-8-tb.d543
Sabrent Rocket 4 Plus (Micron B27B),1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2020,Phison E18,Yes,7000/5500 MB/s,350000/700000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/sabrent-rocket-4-plus-1-tb.d544
Sabrent Rocket 4 Plus (Micron B47R),500GB 1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E18,Yes,7000/5500 MB/s,350000/700000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/sabrent-rocket-4-plus-1-tb.d1013
Sabrent Rocket 4 Plus G,1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E18,Yes,7300/6000 MB/s,350000/700000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/sabrent-rocket-4-plus-g-1-tb.d854
Sabrent Rocket 4 Plus-Destroyer 2.0,64TB,TLC,M.2 2280,PCIe 4.0 x16,2022,Phison E18,Yes,28700/27800 MB/s,Unknown IOPS,6000 (per SSD)TBW,https://www.techpowerup.com/ssd-specs/sabrent-rocket-4-plus-destroyer-2-0-64-tb.d906
Sabrent Rocket 4.0,500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2019,Phison E16,Yes,5000/4400 MB/s,750000/750000 IOPS,1800TBW,https://www.techpowerup.com/ssd-specs/sabrent-rocket-4-0-1-tb.d548
Sabrent Rocket 4.0 (w/ Heatsink),500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2019,Phison E16,Yes,5000/4400 MB/s,750000/750000 IOPS,1800TBW,https://www.techpowerup.com/ssd-specs/sabrent-rocket-4-0-w-heatsink-1-tb.d551
Sabrent Rocket 5,1TB 2TB 4TB,TLC,M.2 2280,PCIe 5.0 x4,2024,Phison E26,Yes,13000/9500 MB/s,1300000/1400000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/sabrent-rocket-5-1-tb.d1932
Sabrent Rocket NVMe PCIe M.2 2230,256GB 512GB 1TB,TLC,M.2 2230,PCIe 4.0 x4,2022,Phison E21T,HMB,4750/4300 MB/s,450000/545000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/sabrent-rocket-nvme-pcie-m-2-2230-1-tb.d1276
Sabrent Rocket Q,500GB 1TB 2TB 4TB 8TB,QLC,M.2 2280,PCIe 3.0 x4,2020,Phison E12S,Yes,3200/2000 MB/s,125000/500000 IOPS,260TBW,https://www.techpowerup.com/ssd-specs/sabrent-rocket-q-1-tb.d556
Sabrent Rocket Q4,1TB 2TB 4TB,QLC,M.2 2280,PCIe 4.0 x4,2020,Phison E16,Yes,4700/1800 MB/s,180000/450000 IOPS,200TBW,https://www.techpowerup.com/ssd-specs/sabrent-rocket-q4-1-tb.d560
Sabrent Rocket Q4 (w/ Heatsink),1TB 2TB 4TB,QLC,M.2 2280,PCIe 4.0 x4,2020,Phison E16,Yes,4700/1800 MB/s,180000/450000 IOPS,200TBW,https://www.techpowerup.com/ssd-specs/sabrent-rocket-q4-w-heatsink-1-tb.d561
Sabrent Rocket Q4 2230,2TB,QLC,M.2 2230,PCIe 4.0 x4,2023,Phison E21T,HMB,5000/3200 MB/s,480000/750000 IOPS,450TBW,https://www.techpowerup.com/ssd-specs/sabrent-rocket-q4-2230-2-tb.d1486
Sabrent Rocket X5 Gen 5,1TB,TLC,M.2 2280,PCIe 5.0 x4,2023,Phison E26,Yes,12000/11800 MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/sabrent-rocket-x5-gen-5-1-tb.d1410
Samsung 470 Series,256GB,MLC,2.5,SATA 3 Gbps,2009,Samsung S3C2400,Yes,250/220 MB/s,31000/21000 IOPS,22TBW,https://www.techpowerup.com/ssd-specs/samsung-470-series-256-gb.d1260
Samsung 750 EVO,120GB 250GB 500GB,MLC,2.5,SATA 6 Gbps,2016,Samsung MGX,Yes,540/520 MB/s,98000/88000 IOPS,100TBW,https://www.techpowerup.com/ssd-specs/samsung-750-evo-500-gb.d1228
Samsung 830,64GB 128GB 256GB 512GB,MLC,2.5,SATA 6 Gbps,2011,MCX,Yes,520/400 MB/s,80000/36000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/samsung-830-512-gb.d1224
Samsung 840 EVO,120GB 250GB 500GB 750GB 1TB,TLC,2.5,SATA 6 Gbps,2013,Samsung MEX,Yes,540/520 MB/s,98000/90000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/samsung-840-evo-1-tb.d42
Samsung 840 Pro,128GB 256GB 512GB,MLC,2.5,SATA 6 Gbps,2012,Samsung MDX,Yes,530/520 MB/s,90000/100000 IOPS,73TBW,https://www.techpowerup.com/ssd-specs/samsung-840-pro-512-gb.d36
Samsung 845DC Pro,400GB 800GB,MLC,2.5,SATA 6 Gbps,2014,Samsung MDX,Yes,530/460 MB/s,92000/51000 IOPS,14600TBW,https://www.techpowerup.com/ssd-specs/samsung-845dc-pro-800-gb.d1757
Samsung 850 EVO (Samsung V2),120GB 250GB 500GB 1TB 2TB,TLC,2.5,SATA 6 Gbps,2014,Samsung MEX,Yes,540/520 MB/s,90000/98000 IOPS,150TBW,https://www.techpowerup.com/ssd-specs/samsung-850-evo-1-tb.d31
Samsung 850 EVO (Samsung V3),4TB,TLC,2.5,SATA 6 Gbps,2014,Samsung MHX,Yes,540/520 MB/s,90000/98000 IOPS,300TBW,https://www.techpowerup.com/ssd-specs/samsung-850-evo-4-tb.d33
Samsung 850 PRO,128GB 256GB 512GB 1TB 2TB,pMLC,2.5,SATA 6 Gbps,2014,Samsung MEX,Yes,550/520 MB/s,100000/90000 IOPS,300TBW,https://www.techpowerup.com/ssd-specs/samsung-850-pro-1-tb.d26
Samsung 860 EVO,250GB 500GB 1TB 2TB 4TB,TLC,2.5,SATA 6 Gbps,2018,Samsung MJX Maru,Yes,550/520 MB/s,98000/90000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/samsung-860-evo-1-tb.d8
Samsung 860 PRO,256GB 512GB 1TB 2TB 4TB,MLC,2.5,SATA 6 Gbps,2018,Samsung MJX Maru,Yes,560/530 MB/s,100000/90000 IOPS,1200TBW,https://www.techpowerup.com/ssd-specs/samsung-860-pro-1-tb.d13
Samsung 860 QVO,1TB 2TB 4TB,QLC,2.5,SATA 6 Gbps,2018,Samsung MJX Maru,Yes,550/520 MB/s,96000/89000 IOPS,360TBW,https://www.techpowerup.com/ssd-specs/samsung-860-qvo-1-tb.d20
Samsung 870 EVO (V-NAND V6 256Gb),250GB,TLC,2.5,SATA 6 Gbps,2021,Samsung MKX Metis,Yes,560/530 MB/s,98000/88000 IOPS,150TBW,https://www.techpowerup.com/ssd-specs/samsung-870-evo-250-gb.d1
Samsung 870 EVO (V-NAND V6 512Gb),500GB 1TB 2TB 4TB,TLC,2.5,SATA 6 Gbps,2021,Samsung MKX Metis,Yes,560/530 MB/s,98000/88000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/samsung-870-evo-1-tb.d3
Samsung 870 EVO (V-NAND V6 Prime 512Gb),1TB 2TB 4TB,TLC,2.5,SATA 6 Gbps,2023,Samsung MKX Metis,Yes,560/530 MB/s,98000/88000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/samsung-870-evo-1-tb.d1903
Samsung 870 QVO,1TB 2TB 4TB 8TB,QLC,2.5,SATA 6 Gbps,2020,Samsung MKX Metis,Yes,560/530 MB/s,98000/88000 IOPS,360TBW,https://www.techpowerup.com/ssd-specs/samsung-870-qvo-1-tb.d16
Samsung 883 DCT,240GB 480GB 960GB 1.9TB 3.8TB,TLC,2.5,SATA 6 Gbps,2018,Samsung MJX Maru,Yes,550/520 MB/s,98000/25000 IOPS,1366TBW,https://www.techpowerup.com/ssd-specs/samsung-883-dct-960-gb.d1266
Samsung 9100 Pro,1TB 2TB 4TB 8TB,TLC,M.2 2280,PCIe 5.0 x4,2025,Samsung Presto,Yes,14700/13300 MB/s,1850000/2600000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/samsung-9100-pro-1-tb.d2318
Samsung 9100 Pro (w/ Heatsink),1TB 2TB 4TB 8TB,TLC,M.2 2280,PCIe 5.0 x4,2025,Samsung Presto,Yes,14700/13300 MB/s,1850000/2600000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/samsung-9100-pro-w-heatsink-1-tb.d2325
Samsung 950 PRO,256GB 512GB,MLC,M.2 2280,PCIe 3.0 x4,2015,Samsung UBX,Yes,2200/1500 MB/s,300000/110000 IOPS,400TBW,https://www.techpowerup.com/ssd-specs/samsung-950-pro-512-gb.d74
Samsung 960 EVO,250GB 500GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2016,Samsung Polaris,Yes,3200/1900 MB/s,380000/360000 IOPS,400TBW,https://www.techpowerup.com/ssd-specs/samsung-960-evo-1-tb.d72
